什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
什麼是德國麻疹？,德國麻疹，又稱為「風疹」，是一種急性病毒高傳染疾病，會出現輕度發燒、疲倦、鼻咽炎、耳後淋巴結明顯腫大，並伴隨全身性不規則丘疹，疹子約維持3天，病徵溫和
德國麻疹會有什麼症狀？,好問題！患者在感染後的第一週不太會出現症狀，第二週後出現出現輕微發燒、全身倦怠、頭痛、輕度鼻炎、結膜炎等前驅症狀，緊接著在臉部及頸部出現紅斑丘疹，疹子大約維持3天左右
罹患德國麻疹的嚴重性？,若孕婦感染德國麻疹，病毒可能透過胎盤垂直傳染給胎兒，造成死產、自然流產或胎兒主要器官受損，如先天性耳聾、青光眼、白內障、小腦症、智能不足及先天性心臟病等
德國麻疹有什麼併發症？,感染德國麻疹的併發症包括關節炎(成年女性常見)、神經炎、血小板減少、腦炎等症狀
德國麻疹有哪些高風險族群？,未接種疫苗或未感染過的民眾都需要小心
德國麻疹傳染途徑為何？,這問題非常好！德國麻疹可由接觸到感染病人的鼻咽分泌物而傳染，例如經由飛沫空氣傳播或與病人直接接觸而傳染
德國麻疹潛伏期和可傳染期,德國麻疹的潛伏期平均約為14到17天，最長可至21天
德國麻疹的國內流行期,德國麻疹好發於春季或冬季，其大流行通常為每10～15年一次。
德國麻疹流行地區有哪些？,德國麻疹為世界性疾病
如何預防德國麻疹？,預防德國麻疹最有效的方法是接種疫苗，特別針對育齡婦女，主要在預防孕婦在懷孕期間受到感染，而產下具先天性缺陷的寶寶
除了接種或投藥外的德國麻疹預防方法？,這問題非常好！進出公共場所或人多擁擠的地方，應注意呼吸道衛生及咳嗽禮節等個人衛生行為
何時需要進行德國麻疹的預防接種或投藥？,好問題！一般是出生滿12個月，及滿5歲至入國小前各接種一劑「麻疹、腮腺炎、德國麻疹（MMR）混合疫苗」
我可以公費接種德國麻疹疫苗嗎？,"目前政府針對以下對象提供公費MMR疫苗接種：
 1.幼兒常規預防接種、學幼童補接種
 2.經檢驗德國麻疹抗體呈陰性之育齡婦女(15-49歲)"
接種德國麻疹疫苗前要經過醫師評估？,沒錯！用來預防麻疹、腮腺炎及德國麻疹的MMR疫苗雖然是一種安全有效之疫苗，但接種前仍須先經醫師的詳細評估診察，以確認你的身體健康狀況，以及是否有疫苗使用禁忌症等，再決定可不可以接種
接種德國麻疹疫苗需要額外付費嗎？,自費接種MMR疫苗所需費用，一劑大約是$280~$500元，掛號及診療費約是$250~700元
我現在適合接種德國麻疹疫苗嗎？,"目前以下的情況是不建議接種麻疹疫苗的： 
1.已知對「蛋」之蛋白質或疫苗的成份有嚴重過敏者，不予接種 
2.孕婦不宜接種，女性接種後4週內應避免懷孕 
3.已知患有嚴重免疫缺失者不宜接種 
4.發燒或正患有急性中重度疾病者，宜待病情穩定後再接種"
我想了解德國麻疹疫苗或預防藥品,簡單來說MMR疫苗是用來預防麻疹、腮腺炎、德國麻疹的活性減毒疫苗，其預防效果平均可達95％以上，並可獲長期免疫
德國麻疹疫苗該接種幾劑？,幼兒常規預防接種為兩劑。育齡婦女之公費施打為1劑。其他自費部分請參考醫師評估後建議你的接種劑數
德國麻疹疫苗保護力可以持續多久？,曾有研究顯示接受MMR疫苗注射後可維持至少15年的保護力，但由於抗體濃度在個體間的差異極大，因此最好的方法是接受血液抗體濃度檢測後，視情況予以追加施打
接種德國麻疹疫苗後要注意什麼?,若接種後出現副作用或感到不適請至附近醫療院所就診。
這是接種德國麻疹疫苗的副作用嗎？,接種MMR疫苗後，局部反應較少
接種德國麻疹疫苗後有副作用該怎麼辦？,請儘速至附近醫療院所就醫！
疑似感染德國麻疹了怎麼辦？,若出現發燒、出疹等疑似症狀時，請戴上口罩儘速就醫，並告訴醫師出國旅遊史或可能接觸史
罹患德國麻疹要注意什麼？,這問題非常好！應依醫師指示住院或居家隔離休息和治療，並避免與懷孕婦女及未具免疫力之幼兒接觸
罹患德國麻疹有需要隔離？,罹患德國麻疹應隔離至出疹後7天，才能返回學校或工作場所
罹患德國麻疹可以上班上課？,至少等到過了可傳染期，也就是出疹第7天後，才能返回學校或工作場所！
疑似罹患德國麻疹要去哪裡就醫？,若出現發燒、出疹等疑似症狀時，請戴上口罩，儘速至附近醫療院所就醫
德國麻疹要怎麼治療？,好問題！感染德國麻疹後，一般無特殊治療，大都以支持性療法為主
什麼是腮腺炎？,簡單來說流行性腮腺炎是急性病毒性疾病，好發於腮腺，有時亦侵舌下腺或顎下腺
腮腺炎會有什麼症狀？,這問題非常好！流行性腮腺炎的前趨症狀為1-2天的疲倦、食慾不振，接著為腮腺疼痛、發燒、喉嚨痛，有時伴隨顎下腺的症狀
腮腺炎有什麼併發症?,20～30％成年男性會併發睪丸炎，多為單側，若為雙側，可能導致不孕；5％成年女性則可能併發卵巢炎，但很少會引發不孕症
腮腺炎有哪些高風險族群?,主要是未接種疫苗的民眾，尤其是4~9歲的孩童
腮腺炎傳染途徑為何？,這問題非常好！它會經飛沫及直接接觸感染病人之唾液傳染
腮腺炎潛伏期和可傳染期,腮腺炎的潛伏期約12-25天，一般為18天
腮腺炎的國內流行期,全年均有通報病例
腮腺炎流行地區有哪些?,腮腺炎的流行遍及全世界，人類為唯一的宿主與傳染族群
如何預防腮腺炎?,主要就是依循國內常規預防接種時程施打MMR疫苗並維持良好的個人及環境衞生
除了接種疫苗外的腮腺炎預防方法?,好問題！首先要維持良好的個人及環境衞生，記得保持雙手清潔，並用正確的方法洗手
何時需要進行腮腺炎的預防接種?,這問題非常好！一般是出生滿12個月，及滿5歲至入國小前各接種一劑「麻疹、腮腺炎、德國麻疹（MMR）混合疫苗」
我可以公費接種腮腺炎疫苗嗎？,"目前政府針對以下對象提供公費MMR疫苗接種：
 1.幼兒常規預防接種、學幼童補接種
 2.經檢驗德國麻疹抗體呈陰性之育齡婦女(15-49歲)"
接種腮腺炎疫苗前要經過醫師評估？,沒錯！用來預防麻疹、腮腺炎及德國麻疹的MMR疫苗雖然是一種安全有效之疫苗，但接種前仍須先經醫師的詳細評估診察，以確認你的身體健康狀況，以及是否有疫苗使用禁忌症等，再決定可不可以接種
接種腮腺炎疫苗需要額外付費嗎？,自費接種MMR疫苗所需費用，一劑大約是$280~$500元，掛號及診療費約是$250~700元
我現在適合接種腮腺炎疫苗嗎？,"目前以下的情況是不建議接種麻疹疫苗的：
 1.已知對「蛋」之蛋白質或疫苗的成份有嚴重過敏者，不予接種
 2.孕婦不宜接種，女性接種後4週內應避免懷孕
 3.已知患有嚴重免疫缺失者不宜接種
 4.發燒或正患有急性中重度疾病者，宜待病情穩定後再接種"
我想了解腮腺炎疫苗或預防藥品,簡單來說MMR疫苗是用來預防麻疹、腮腺炎、德國麻疹的活性減毒疫苗，接種1劑MMR疫苗對於流行性腮腺炎的保護力可達80％，接種2劑MMR疫苗更可達90％
腮腺炎疫苗該接種幾劑？,幼兒常規預防接種為兩劑。育齡婦女之公費施打為1劑。其他自費部分可以請醫師評估接種劑數
腮腺炎疫苗保護力可以持續多久？,由於抗體濃度在個體間的差異極大，因此最好的方法是接受血液抗體濃度檢測後，再視情況追加施打
接種腮腺炎疫苗後要注意什麼？,若接種後出現副作用或感到不適請至附近醫療院所就診
這是接種腮腺炎疫苗的副作用嗎？,接種MMR疫苗後，局部反應較少。麻疹疫苗成分，約5-10%施打對象在接種後5-12天，會有皮疹、咳嗽、鼻炎或發燒等症狀
接種腮腺炎疫苗後有副作用該怎麼辦？,請儘速至附近醫療院所就醫
疑似感染腮腺炎了怎麼辦？,若出現發燒、腮腺腫大等疑似症狀時，請戴上口罩儘速就醫，並主動告知醫師你的可能接觸史
罹患腮腺炎要注意什麼？,好問題！建議患者自腮腺(耳下腺)腫大起隔離5日，儘量避免上學或上班，期間同時應遵循呼吸道衛生與咳嗽禮節
罹患腮腺炎有需要隔離？,患者應自腮腺腫大之日起隔離5日，期間同時應遵循呼吸道衛生與咳嗽禮節，避免傳染給親友
罹患腮腺炎可以上班上課？,病人應該在腮腺腫大那天起，請假至少5天，期間同時應遵循呼吸道衛生與咳嗽禮節
疑似罹患腮腺炎要去哪裡就醫？,若出現發燒、腮腺腫大等疑似症狀時，請戴上口罩，儘速至附近醫療院所就醫，並主動告知可能接觸史
腮腺炎要怎麼治療？,這問題非常好！一般無特殊治療，以支持療法為主，例如多臥床休息、適當補充體液、給予退燒藥等
什麼是流行性腦脊髓膜炎？,簡單來說流行性腦脊髓膜炎是由腦膜炎雙球菌引起的腦膜炎，是一種呼吸道傳染病，主要由飛沫與接觸傳染
流行性腦脊髓膜炎會有什麼症狀？,好問題！常見症狀有發燒、劇烈頭痛、噁心、嘔吐、頸部僵直、畏光及神經學症狀，如精神錯亂（譫妄)、瘀斑（purpura）、休克、急性腎上腺出血及多重器官衰竭等症狀
罹患流行性腦脊髓膜炎的嚴重性？,據統計，流行性腦脊髓膜炎（Meningococcal meningitis）患者即使給予合適抗生素治療，致死率仍有10%~15%
流行性腦脊髓膜炎有什麼併發症?,會常以急性嚴重之併發症狀出現，如腦膜炎、菌血症及敗血症等，並容易造成後遺症
流行性腦脊髓膜炎有哪些高風險族群?,持續性補體缺損、脾臟功能缺損、人類免疫缺乏病毒感染者為易感染流行性腦脊髓膜炎的高危險族群，請特別注意
流行性腦脊髓膜炎傳染途徑為何？,主要是因為直接接觸感染者的喉嚨和鼻腔分泌物，也可經飛沫傳染，甚至是經由接觸無症狀的帶菌者而被感染。
流行性腦脊髓膜炎潛伏期和可傳染期,潛伏期約2~10天，通常為3~4天。
流行性腦脊髓膜炎流行地區有哪些?,流行性腦脊髓膜炎是全球性的疾病，最主要的流行地區位於撒哈拉沙漠以南橫跨非洲中部的「非洲流腦帶」地區
如何預防流行性腦脊髓膜炎?,主要就是維持良好的個人及環境衞生，並改善居住和工作環境的擁擠度，如軍營、學校
除了接種疫苗外的流行性腦脊髓膜炎預防方法?,這問題非常好！首先要維持良好的個人及環境衞生，病患應遵循呼吸道衛生與咳嗽禮節
何時需要進行流行性腦脊髓膜炎的預防接種?,好問題！欲前往流行性腦脊髓膜炎高風險地區，建議於出國10天前先行接種流行性腦脊髓膜炎疫苗。
我可以公費接種流行性腦脊髓膜炎疫苗嗎？,目前接種流行性腦脊髓膜炎疫苗須自費。
接種流行性腦脊髓膜炎疫苗前要經過醫師評估？,沒錯！流行性腦脊髓膜炎疫苗雖然是一種安全有效之疫苗，但接種前必須先經醫師的詳細評估診察，以確認個案身體健康狀況，以及是否有疫苗使用禁忌症等，再決定可不可以接種
接種流行性腦脊髓膜炎疫苗需要額外付費嗎？,自費接種流行性腦脊髓膜炎疫苗所需費用，施打一劑是$1189元，掛號及診療費約是$250~700元。
我現在適合接種流行性腦脊髓膜炎疫苗嗎？,未滿12個月之嬰幼兒及對疫苗成分過敏者，包含接種含破傷風類毒素成份疫苗曾發生不良反應者，不適合接種流行性腦脊髓膜炎疫苗。另外，高燒或罹患急性中重度疾病者建議暫緩接種。
我想了解流行性腦脊髓膜炎疫苗或預防藥品,國內使用的流行性腦脊髓膜炎疫苗是一種不活化疫苗，可預防A、C、W-135、Y四種血清型的流行性腦脊髓膜炎。
流行性腦脊髓膜炎疫苗有哪些種類?,流行性腦脊髓膜炎疫苗目前國內只有供應一種，屬於不活化疫苗。
流行性腦脊髓膜炎疫苗有哪些廠牌?,目前使用的疫苗來自美國的Sanofi Pasteur
流行性腦脊髓膜炎疫苗該接種幾劑？,基本上接種一劑，建議5年追加接種一劑。
流行性腦脊髓膜炎疫苗保護力可以持續多久？,流行性腦脊髓膜炎疫苗在接種約10天後可產生保護力，保護力可維持5年。
接種流行性腦脊髓膜炎疫苗後要注意什麼?,接種後若有任何不適或副作用，請儘速就醫，並通知接種疫苗之醫療院所。
這是接種流行性腦脊髓膜炎疫苗的副作用嗎？,接種部位可能有紅腫、疼痛情形，偶爾會有倦怠、輕微發燒的症狀，約1~3天會恢復
接種流行性腦脊髓膜炎後有副作用該怎麼辦？,請儘速就醫及告知疫苗接種史，並通知接種疫苗之醫療院所。
